group_key,parsed_brand,parsed_scale,parsed_subject,file_count,views,confidence,best_kit_id,best_brand,best_scale,best_name,best_score,match_reasons,candidate_2,candidate_3,alternate_any_scale,notes,files
AF1200_hood,Airfix,1/1200,hood,5,back; front; left; right; top,high,168,Airfix,1/1200,H.M.S. Hood,101.71,brand; scale; 1 token overlap,,,,,AF1200_hood_back.jpg; AF1200_hood_front.jpg; AF1200_hood_left.jpg; AF1200_hood_right.jpg; AF1200_hood_top.jpg
AF144-B727,Airfix,1/144,B 727,5,back; front; left; right; top,high,169,Airfix,1/144,Boeing 727,112.0,brand; scale; 2 token overlap; name ratio,"2: Airfix 1/144 Apollo Saturn V (55.76; brand, scale)","171: Airfix 1/144 Hawker Siddeley Trident 1C (55.33; brand, scale)",,,AF144-B727_back.jpg; AF144-B727_front.jpg; AF144-B727_left.jpg; AF144-B727_right.jpg; AF144-B727_top.jpg
AF144-B727_02,Airfix,1/144,B 727,5,back; front; left; right; top,high,169,Airfix,1/144,Boeing 727,112.0,brand; scale; 2 token overlap; name ratio,"2: Airfix 1/144 Apollo Saturn V (55.76; brand, scale)","171: Airfix 1/144 Hawker Siddeley Trident 1C (55.33; brand, scale)",,,AF144-B727_02_back.jpg; AF144-B727_02_front.jpg; AF144-B727_02_left.jpg; AF144-B727_02_right.jpg; AF144-B727_02_top.jpg
AF144-DC-9-30,Airfix,1/144,DC 9,5,back; front; left; right; top,high,170,Airfix,1/144,DC-9-30,92.79,brand; scale; 2 token overlap; name ratio,"171: Airfix 1/144 Hawker Siddeley Trident 1C (56.2; brand, scale, 1 serial overlap)","172: Airfix 1/144 Transatlantic Clipper (53.84; brand, scale)",,,AF144-DC-9-30_back.jpg; AF144-DC-9-30_front.jpg; AF144-DC-9-30_left.jpg; AF144-DC-9-30_right.jpg; AF144-DC-9-30_top.jpg
AF144-Tranatl_Clipper,Airfix,1/144,Tranatl Clipper,5,back; front; left; right; top,high,172,Airfix,1/144,Transatlantic Clipper,112.0,brand; scale; 2 token overlap; name ratio,"2: Airfix 1/144 Apollo Saturn V (58.0; brand, scale)","171: Airfix 1/144 Hawker Siddeley Trident 1C (55.11; brand, scale)",,,AF144-Tranatl_Clipper_back.jpg; AF144-Tranatl_Clipper_front.jpg; AF144-Tranatl_Clipper_left.jpg; AF144-Tranatl_Clipper_right.jpg; AF144-Tranatl_Clipper_top.jpg
AF144-Tranatl_Clipper_02,Airfix,1/144,Tranatl Clipper,5,back; front; left; right; top,high,172,Airfix,1/144,Transatlantic Clipper,112.0,brand; scale; 2 token overlap; name ratio,"2: Airfix 1/144 Apollo Saturn V (58.0; brand, scale)","171: Airfix 1/144 Hawker Siddeley Trident 1C (55.11; brand, scale)",,,AF144-Tranatl_Clipper_02_back.jpg; AF144-Tranatl_Clipper_02_front.jpg; AF144-Tranatl_Clipper_02_left.jpg; AF144-Tranatl_Clipper_02_right.jpg; AF144-Tranatl_Clipper_02_top.jpg
AF144-Tranatl_Clipper_03,Airfix,1/144,Tranatl Clipper,5,back; front; left; right; top,high,172,Airfix,1/144,Transatlantic Clipper,112.0,brand; scale; 2 token overlap; name ratio,"2: Airfix 1/144 Apollo Saturn V (58.0; brand, scale)","171: Airfix 1/144 Hawker Siddeley Trident 1C (55.11; brand, scale)",,,AF144-Tranatl_Clipper_03_back.jpg; AF144-Tranatl_Clipper_03_front.jpg; AF144-Tranatl_Clipper_03_left.jpg; AF144-Tranatl_Clipper_03_right.jpg; AF144-Tranatl_Clipper_03_top.jpg
AF144-Tranatl_Clipper_04,Airfix,1/144,Tranatl Clipper,5,back; front; left; right; top,high,172,Airfix,1/144,Transatlantic Clipper,112.0,brand; scale; 2 token overlap; name ratio,"2: Airfix 1/144 Apollo Saturn V (58.0; brand, scale)","171: Airfix 1/144 Hawker Siddeley Trident 1C (55.11; brand, scale)",,,AF144-Tranatl_Clipper_04_back.jpg; AF144-Tranatl_Clipper_04_front.jpg; AF144-Tranatl_Clipper_04_left.jpg; AF144-Tranatl_Clipper_04_right.jpg; AF144-Tranatl_Clipper_04_top.jpg
AF144-Trident,Airfix,1/144,Trident,5,back; front; left; right; top,high,171,Airfix,1/144,Hawker Siddeley Trident 1C,69.68,brand; scale; 1 token overlap; user-confirmed,"172: Airfix 1/144 Transatlantic Clipper (56.86; brand, scale)","2: Airfix 1/144 Apollo Saturn V (56.55; brand, scale)",,user-confirmed match,AF144-Trident_back.jpg; AF144-Trident_front.jpg; AF144-Trident_left.jpg; AF144-Trident_right.jpg; AF144-Trident_top.jpg
AF144_SatV,Airfix,1/144,Sat V,5,back; front; left; right; top,high,2,Airfix,1/144,Apollo Saturn V,112.0,brand; scale; 2 token overlap; name ratio,"171: Airfix 1/144 Hawker Siddeley Trident 1C (58.2; brand, scale)","172: Airfix 1/144 Transatlantic Clipper (56.67; brand, scale)",,,AF144_SatV_back.jpg; AF144_SatV_front.jpg; AF144_SatV_left.jpg; AF144_SatV_right.jpg; AF144_SatV_top.jpg
