attachment_filename,attachment_href,local_path,exists,aid,normalized_attachment,match_kind,confidence,map_id,map_name,previous_map_image_id,image_id,image_status,update_status,family_status
Top Back Left 07 copy.jpg,../images/Top Back Left 07 copy_aid_11357.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Top Back Left 07 copy_aid_11357.php,True,11357,top back left 07,collapsed-top-back,0.92,55,Top Back 05 / 07,480,479,existing,map-image-link-added-primary-unchanged,family-member-variant
Top Back 05 copy.jpg,../images/Top Back 05 copy_aid_11356.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Top Back 05 copy_aid_11356.php,True,11356,top back 05,collapsed-top-back,0.92,55,Top Back 05 / 07,480,480,existing,primary-linked,not-needed
starboard walkway top copy.jpg,../images/starboard walkway top copy_aid_11355.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\starboard walkway top copy_aid_11355.php,True,11355,starboard walkway top,exact,1.0,54,Starboard walkway top,481,481,existing,primary-linked,not-needed
Starboard walkway bottom copy.jpg,../images/Starboard walkway bottom copy_aid_11354.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Starboard walkway bottom copy_aid_11354.php,True,11354,starboard walkway bottom,exact,1.0,53,Starboard walkway bottom,482,482,existing,primary-linked,not-needed
starboard ventral rear quarter copy.jpg,../images/starboard ventral rear quarter copy_aid_11353.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\starboard ventral rear quarter copy_aid_11353.php,True,11353,starboard ventral rear quarter,exact,1.0,52,starboard ventral rear quarter,483,483,existing,primary-linked,not-needed
starboard ventral forward quarter copy.jpg,../images/starboard ventral forward quarter copy_aid_11352.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\starboard ventral forward quarter copy_aid_11352.php,True,11352,starboard ventral forward quarter,exact,1.0,51,starboard ventral forward quarter,484,484,existing,primary-linked,not-needed
starboard top small pit copy.jpg,../images/starboard top small pit copy_aid_11351.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\starboard top small pit copy_aid_11351.php,True,11351,starboard top small pit,exact,1.0,50,starboard top small pit,485,485,existing,primary-linked,not-needed
starboard top maintenence pit copy.jpg,../images/starboard top maintenence pit copy_aid_11350.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\starboard top maintenence pit copy_aid_11350.php,True,11350,starboard top maintenance pit,exact,1.0,49,starboard top maintenance pit,486,486,existing,primary-linked,not-needed
Starboard sidewall rear 2 copy.jpg,../images/Starboard sidewall rear 2 copy_aid_11349.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Starboard sidewall rear 2 copy_aid_11349.php,True,11349,starboard sidewall rear 2,exact,1.0,48,Starboard sidewall rear 2,487,487,existing,primary-linked,not-needed
starboard sidewall cockpit copy.jpg,../images/starboard sidewall cockpit copy_aid_11348.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\starboard sidewall cockpit copy_aid_11348.php,True,11348,starboard sidewall cockpit,exact,1.0,47,starboard sidewall cockpit,488,488,existing,primary-linked,not-needed
